날짜,리뷰 제목,리뷰 내용
"06  6, 2018",Fantastic auto,"We bought our 2012 rav4 sport v6 and new off the lot in 2012.  Been a super vehicle.  Don't listen to others get the v6.  It is far better then the 4 and actually gets better gas mileage.  It has 70,000 miles on it now with absolutely no problems.  I would definitely buy it again."
"06  5, 2018",My Favorite Car!,"I've owned a lot of cars, got to be at least 15, in my life. This one is by far my favorite! It's pretty, fast, reliable and all around everything I love in a car."
"05 29, 2018",love it,"Runs nice, comfortable, lots of room and storage space. I bought it used and it is the best uses car I have purchased to date. Great car, would def recommend to another person"
"05 21, 2018",Great small SUV for the money.,"The RAV4 is s dependable small SUV with excellent intetior space. It is a very good SUV for family trips that require space for luggage, coolers and sports gear."
"05  6, 2018",They Don't Make Them Like This Anymore!,Great ride and much sportier to drive than the larger Highlander and 4 Runner.  The interior layout is perfect!  The cargo area is probably the largest in the compact SUV class (at this time).  Too bad you can no longer get a V6 option (2012 was the last year):  That makes this great car truly outstanding!
"05  4, 2018",LOVE THIS CAR,"VERY NICE CONDITION, LIKE THE AMENITIES, DRIVES GREAT AND I HOPE IT LAST LONG ENOUGH FOR ME TO PAY IT OFF -- LOOKING FORWAARD TO DRIVING IT OFF THE LOT"
"05  3, 2018",Excellent transportation in the winter,Perfect family vehicle. Roomy. Gas mileage was as good as I?ve gotten. Long road trips were made w/ it on a monthly basis. Never had a single issue.
"05  2, 2018",Most reliable vehicle ever,"My 2012 Toyota RAV4 has been a great friend to me. It has helped tremendously in every winter storm for the last three years. Cheap on gas, extremely reliable, this is definitely an excellent vehicle!!"
"04 13, 2018",Fun drive,A very fun drive and a lot of space. We used it for moving stuff all the time. Great drive for snow days. Great value and gas mileage.
"04 11, 2018",Excellent Vehicle,"Powerful V6 engine, comfortable ride. Very reliable. It is one of the best vehicles I have ever owned. I do not expect to ever sell it."
"03  3, 2018",I so in love with this car very reliable,Omg fits my needs love the space something different it's fits me.and all love the storage space as well best vehicle every the kids love it great price.
"02 24, 2018",Great Reliability and Practicality,"Very reliable
Cheap to maintain
Holds value very good as for a used car
I recommend to buy 4cylinder with all wheel drive, most popular model and will always have demend"
"02 20, 2018","Why do my lights keep comeing on,4x4, traction con","The rav4 comes up with a code o2 sensor, bank 1 sensor 2. You change it then comes rite back on along with 4?4  light and traction control  light. So you change it again. 17 miles latter they are back on .  Why. Alot of people are having same problem"
"02  7, 2018",One of the best Vehicle that I owned,I owned and driven 100s of cars in my lifetime. I worked at many car rental companies for 20 years. This vehicle will always my top recommendation to everyone
"02  3, 2018",Great looking and fun to drive car!,"I am a big Toyota fan with this 2012 RAV4 being the 7th Toyota I have owned.  They have all been very reliable, fun to drive, and go forever.   This is the first time I have owned a RAV4 though but so far so good as it seems to represent the Toyota brand like all others.  It is comfortable with the basic options, powerful enough with the 4-cylinder engine, and feels very safe driving.   Great car!"
"01 29, 2018",very stable free way driving,itsan amazing Small SUV.  lots of room for cargo. fun to drive. very good on gasoline. small enough to fit a any space like regular car.
"01 23, 2018",great Car!,"I got this car in 2015. I got it used with 18k miles on it.  I use it as my daily driver  and it's perfect  for San franciscos pothole filled streets. Though it's only a 2wheel drive, I have taken her camping to Yosemite, death valley, Zion, grand staircase escalante, Bruce canyon, Vegas, l.a., tahoe. it's great for camping for 2 people as you can fit lots of stuff in the back with the seats down. you can travel with 2 people in the back on long drives but the back seats need much better cushioning. 3 in the back is fine but might be uncomfortable for long drives. your passengers must really like each other. back seats recline. I also used my rav for moving and hauling Ikea items. the 176hp is sufficient enough for me. it has good pick up. the one I have is the standard 2wd. I think I would opt for 4wd next time just because I like to travel to more places."
"01 18, 2018","Rav 4, the car to have in the winter","An excellent vehicle for us.  It is a V6 so it has plenty of hustle in traffic and the  mpg's we get is very satisfactory at 25 on trips and 23 -24 around town.  An excellent vehicle for winter driving as well.   I would recommend a Rav, but only if the V6 was brought back.  Too bad it is no longer available in newer models."
"01 12, 2018",Best car I've ever owned!,"I love this vehicle! Well-made, safe, solid, fuel-efficient, comfortable, with lots of smart and convenient design features. Bought used from Toyota on the Park -- what a great deal and great dealership!"
"01  8, 2018",Toyota Rav4 Limited Excellent style and performanc,This SUV is comfortable with excellent head and leg room. Comfortable for Highway Travel long distances. Heated seats for winter. Driver and passenger visibility is outstanding. Dual comfort climate control makes it nice in summer and winter. Dependable with good gas mileage for full passengers and cargo ride.
"11 17, 2017",One of the greatest crossovers to ever exist!,"I own the basic 4WD V6 RAV4 2012 Model, yes the last V6 Model every made by Toyota. This car made it through a 36 hour drive to Georgia and back with no problems! The vehicle performance is similar to a Camry Sport feel, and the acceleration is powerful! It feels like I'm sitting in a  race car when I hop behind the wheel of my RAV4. If you are able to find one, get one. The 2013 and up models do not compare to this beast."
"11  7, 2017","Five years, 80.000 miles",One minor repair in all this time.  29.5mpg overall. Love the driving position and the handling of the vehicle.
"11  5, 2017",Toyota is the best brand I've ever owned,I love the reliability of my RAV4 and how it performs. I have owned or leased many cars.. Best brand
"11  3, 2017",Best Car Ever,"I love this car so much. It is comfortable and reliable, with tons of trunk space and good visibility."
"10 27, 2017",Fantastic SUV,"I love my Rav4. There's a lot more room than you would think. It comfortably fits 5, with lots of trunk space. I can't wait to test the 4WD this winter!"
"10 14, 2017","Overall OK, but need input.","I have a 2012 Rav4, (5 years old) Overall the car has been a good investment.  I have had a problem with the service lights on the dash, (Service Engine, 4-WD, and Track Off) remaining on. I had the O2 sensor replaced as the code read indicated was the problem. A few miles down the road  after the repair, the lights came on again, and the O2 sensor was again listed as the problem.  There are many people on-line with the same problem, (some have paid thousands of dollars trying to find the cause).  Toyota told me it was my car and that I should continue spending money to find out the problem.  Anyone else with this vehicle that might have suggestions?  I'm pretty frustrated with Toyota right now and wanted to share this concern to other owners who might have the same issues.  Other than that, the car works fine."
"10  9, 2017",Another Excellent Toyota Car,"I've owned my RAV4 since 2012 and I love it. I never had any problems with it since. I trust the brand name Toyota for its excellent commitment to their customers. I am not a car enthusiast but i know that if you want a vehicle for keeps, get a Toyota."
"10  6, 2017",great replacement for crv...,"hoping for best here....bought to replace older Honda crv--this has last year of v6 engine with heavy tow  package, so i can tow more than the Honda 1600 # limit.....although  rides stiffer due to run-flat tires and sport suspension tuning.....but everything else is what i wanted."
"10  2, 2017",Great SUV,"Love the 2012 RAV4 Limited with 4WD, 25 mpg, heated seats, remote start, backup camera, Bluetooth, and more. Mine has had bullet proof reliability and low maintenance costs. I wish the driver's seat was more comfortable and the interior design was upgraded. It has a huge amount of cargo room and I like the side opening tail gate."
"09 19, 2017",Great Reliable Car for the money,"Good car, rides well, good in snow -  a good safe car.  It was rated well for safety.  It is not a fast car, however drives well."
"09 15, 2017",Very happy Rav4 owner,"I havent had my Rav4 long, but i absolutely love it.  It seems very versatile and adequate for darn near anything.  I've been surprised by the power it has despite being a four cyclinder yet stays very efficient as well.  I like the interior design but do wish for a little more leg room for the backseat.  I prefer the boxier maybe jeepier look of the 2012 and older but i have heard friends with this era model complain about the rear door being too heavy with the spare tire, and that they have trouble closing while parked on a hill and that the hinges are insufficient.  I bought mine used and while the door seems fine it does rattle a bit upon closing.  I needed a family vehicle and efficient commuter car with awd and this hits all the boxes and then some.  All with Toyota's legendary reliability.  Im a person who wants to be in love with his vehicle and keep it til it dies and i imagine im gonna have this Rav4 for a long time!"
"09  5, 2017",Reliability is what I look for in a car,This car is nice looking car that is reliability. I found this car drives well on winter snow and ice. There is space to hold 5 adults and luggage for travel. I recommend this car. In fact I own two Rav4 cars.
"09  1, 2017",Overall great vehicle!,"We needed a vehicle larger than a car, but smaller than an SUV and this is the perfect size. Reliable, comfortable & plenty of truck space for traveling."
"08 19, 2017",Realiable as always in a Toyota,"Great riding vehicle and it handles excellent... also good vehicle for the price ...it's a sporty, SUV and it's the best as far as reliability.."
"08 18, 2017",This car met all my needs.,Very close to my former Lexus RX330 I used to own. Very spacious and great driving for bad weather condition.
"08  9, 2017",Great vehicle - very reliable,"I have really enjoyed owning my 2012 RAV4 Sport V6 - easy to drive, easy to park, handles like a sports car, great in the mountains and the snow. It is big enough for a small family of 4, has enough cargo room for normal jobs, and with the V6 and trailer hitch can tow my small utility trailer or 1500lb boat with ease. I'm just sad they don't make this vehicle / engine combo any longer - don't know what I will replace it with when it is time."
"07 22, 2017",Rad RAV4,"I LOVE being a RAV4 driver. This car is my pride and joy. Reliable and very attractive. 
I have the limited model, so the vehicle has leather/heated seats, a moon/sunroof, backup camera, and all the bells and whistles. It is absolutely my dream car. Toyota's are great cars and this is no exception. However, I do not care much for the body style of the RAV4's after 2012, so anything 2013+ does not interest me much. 

A used RAV will serve you well! The gas mileage is good for an SUV/crossover. Spacious on the inside with LOTS of trunk room. 

Love this car!"
"07  1, 2017",Beautiful car,"Driving this car, I knew right away that tho car was for me. Perfect size for my family of 5.  Beautiful inside and out, lots of technology."
"07  1, 2017",Great car,"Wonderful car, has a ton of room for my family of 5. Comfortable, and was built well and very reliable."
"06 26, 2017",Love the V6 engine!!,"I love having the extra power of the V6 because I drive in the mountains often. I wish I had a sunroof and feel like the space in the front seats could be designed better. Like having more compartments for phone, purse, etc would be nice. I love how the seats lay down flat in the back and I can sleep back there when I'm camping. Also love the extra storage compartment in the back where the spare tire would normally be."
"06 18, 2017",not my favorite car that i have owned,it meets my needs i dont have any problems with it but it is not very comfortable and it is not the best looking car in the world
"06 12, 2017",One of the safest cars by consumer reports!,"Awesome! I feel that it is one of the safest vehicles for my family to ride in. I love it, and it is very reliable, sporty, fun vehicle."
"05 25, 2017",Easy to drive,The Rav4 is easy to drive and handles well. The turning radius is the smallest I have ever experienced.  The wheel lock button should be useful for getting out of snow or ice or mud. The interior has lots of space when the seats fold down. Highly recommended.
"05 23, 2017",IT IS OKAY IF YOU ARE BYE YOURSELF,"OKAY. at the time i needed something to go back and forth to GA it serve it purposed for what I need it for. If you are a big person it is not a good truck to have to small for anyone over 5 ft.
other wise it is a good truck. good on gas."
"05 23, 2017","Toyota Rav4, sensible and reliable","Bought my 2012 Rav4 new in 2012. 46k miles later, no repairs other than brakes and tires. Reliable , comfortable, love my heated seats.  Wish the engine and road noise weren't so loud."
"05 12, 2017",Very Reliable,Its good its got good mileage it got a good doors. its got good wheels. all four wheels work really well. everythings pretty good the seats are very comfortable
"04 24, 2017",Great Toyota product,I love my Rav4 and plan to be buying a new one in the next year or so very likely!  Toyota has been the most reliable trouble free vehicles I have ever owned and would not think of switching brands!
"04 10, 2017",Reliable & Versatile,It's been very reliable and versatile. Great for getting to work and for transporting larger items. It's easy to drive and has good gas mileage.
"03 21, 2017",Best car yet.,"Purchased my Rav4 through Prestige Toyota of Kingston. Joseph Rodelli has the patience of a saint! Took me a while to make up my mind, but I'm definitely pleased with my purchase."
"03 10, 2017",2012 Toyota RAV4,"The Toyota RAV4 is a great car. It's reliable, safe, spacious, sleek, and has all the basic features you would want your car to have. I've never had an issue with my car, I trust it completely. The seats aren't as comfortable as some other cars, but that's not too big of a deal to me. I'd recommend this car to anyone looking for a safe, gas efficient car."
"03  9, 2017",We love our used RAV4!,"It's beautiful, comfortable, well-designed, efficient, a dream to drive, and it was such a great deal from Toyota On The Park in Toronto. Great dealership and repair place. We are 100% happy. Love it!"
"05 28, 2016",Nice small car,You don't need the v 6.  3 row seat is a waist of money.Not comfortable to drive if over six foot.Weak a.c.. Nice car and runs good but get a loaded limited..
"06 10, 2015",Rav4,"Love my new Rav4. I've only had it a week, but I can tell you, I feel safe in it and secure with my decision in purchasing one. Toyota's are dependable, safe and they hold their value for years to come. I would recommend one to anybody. Great car!"
"03 11, 2014",The most valuable small SUV,"I purchased 2012 Sport V4 model to replace 2005 Sienna Van. I rented a Hyundi Santa Fe for roadtrip before my purchsing. I also tested Nissan Rouge and Honda CRV. Rav4 and Honda CRV were on the final run. I choice Toyota because the package met my need for the price that I expected.

Less than one year later, my wife purchased the 2013 CRV base model.

Now, I can tell you the true experience of these two competitors as the user.

They both have same performance.

Rav4 2012 is the last year of the old model. Its interior was designed for V6 w/7 seat optiopn. The 2nd row seat can be slided back and forth. My 5 seat get extra leg room when I push back. Because mine is 5 seat model. It has X-extra huge cargo space. Put down the 2nd row seat, I can still get a flat space like a bed when I going out for camping like driving Sienna van. The 6 speakers audio has excellent sound quality. The only Con's for this car from my experience are 2:
1. The doors are very light, so most of times I have push a little when closing the door.
2. The gas tank is only 12 gal. I believe this is a compromise for the other X-extra features for 7 seat option. I believe this has been changed to 16 gal. in 2013 new model. Of cause, you will not get those X-extra space from 2013 model.
My Sport model come with roof window, rack, buletooth and MP3, USB and back-up camera.
I used to buy long lumbers from HomeDepot when I drove Sienna van. Although Rav4 is not as long as Sienna van , I can still buy plenty of 2x6x(8+ size). My Rav4 Sport model has #3 gear which help picking up speed on highway when I need.

Honda has better interior (roomy). The windshield was pushed forward with wider glass to get more space. The interior width is also a little wider than Rav4. The driver's seat has arm rest which is good for long trip. The back-up camera(rear monitor) has become standard feature which is very thoughtful for high position vehicle. The cargo space is huge too. CRV has smaller turning radious for you make U-turn.

They both make you feel very steady while driving on the curving road. They both very reliable, comfort, good driver's view to all around the traffic. The price is difficult to compare each other. I will think they are pretty much the same if same features, but unfortuantely their different trims equipted with different features.

Toyota Rav4 (even though 2013 model) is a little sporty looking while CRV is more like city car. You shall pick what you need. You will like either one. Both Toyota and Honda make good value products.

So far, I have 10500 miles on my Rav4 and over 5000 miles on CRV.

My Rav4 perform 19 mpg in the city and 24 mpg on the roadtrip with premium gas.

My wife has never counted the mpg for her CRV. I think it is about the same in city. I guess the roadtrip mpg shall be a little better if we try Eco-mode. She mentioned one time about Eco-mode and said ""You don't want use this feature in the town even though on highway because the system will run with less power."" I guess that Eco-mode will be very helpful if we go for roadtrip in Wild West.

Hope these true experience are helpful for you."
"01 24, 2014",Great buy,"We really like this car! Got it because we're expecting a baby and wNt something reliable and functional. We got it from Maguire Toyota in Ithaca, NY, and Bridget helped us. She was fantastic- never pressured us, just showed us everything we wanted to see, gave us more information, and answered all our questions. We'll be going back there for our next vehicle purchase,"
"11 25, 2013","Like the car, but. . .","RAV is a good choice, generally. Can't beat it for dependability, resale, etc. Not very exciting in the interior, although it's OK. I like the external spare, but that's going away, along with leather seat covers and V6 power. Uses tons of fuel, but that's true with the smaller engine as well."
"09  8, 2013","Very good on gas milage, reliable and beautiful.","Very good on gas milage.
Nice,cozy interior and beautifully crafted exterior.
Spacious trunk for shopping and for reasonable haulage.
Easily accessible driving features and equiped with some modern car technology. Loving It."
"07 28, 2013",Loving it!,"Looks great, drives great. I bought it for the AWD feature for winter driving. I'm happy it will have the power when I need it, and has great gas mileage."
"07 22, 2013",My Dream UV I Never Knew!,"I am amazed at the comfort and security this vehicle gives me once I get behind the wheel. The difference in the gas mileage expenditure has improved from day one. I love the GPS feature and Blue tooth, which have come in so handy for me with my kids/family/co-workers! I love my Rav4! THANKS JESSE!!"
"03  7, 2013",great car!,The seller and finance personnel were all very helpful and proffessional. But best of all i got the best deal in the market! I love my new toyota rav4!!!
"02 28, 2013",AWESOME!,"We just love this vehicle! Within 15 minutes of purchasing I was traveling 300 miles. It rode smoothly, I feel safe in it, comfy...simple WE LOVE IT!"
"02 23, 2013",like the v6 power. Goooooo,"I have a 2007 Rav4 and use it for travel. The V6 give you the option of getting out of the way or hitting the brakes. the interstates are test of survival. So when I found out that toyota was getting rid of the V6 safety feature, I purchased the 2012 with the V6. Now the 2013 Rav4 looks like all the rest. Oh hum"
"01 29, 2013",Mitsubishi,"Happy with car after purchase. There is nothing more to say than, what a nice car. It was the cae that caught my eye on the road"
"01 24, 2013",Found a great car at a great price,"Haven't had it long enough to really tell yet, but so far, I am more than satisfied. The ride is a little stiff. The gas mileage has been better than expected."
"01 22, 2013",Great Solid Driver,"Drove them all found the Rav 4 to be the most solid feeling Cross over in it's class. Nice feel on the hi-way, great brakes, comfortable firm but not harsh ride."
"01 17, 2013",Bought Toyotas since 1976,"We've bought Toyotas since we were married in 1976. We have found them to be very realiable. We're had corolla, camrays, Supra, Thundra, other trucks, and this is my second Rav 4"
"01 15, 2013",Outstanding buying expierence!,"As a long term West Herr customer, I recently referred a friend to ""Casey Mac Alpine"" at West Herr Toyota of Williamsville. Just wanted to express the great customer service that my friend received from ""Casey""which was ""Class A all the way. She mentioned that this was the best car buying experience that she has ever had in the many years of dealing with sales people. She felt that the he listened and cared!"
"01 14, 2013",Fun little in-town car,"Fun to drive, Not a luxury car, nice little commuter that holds a lot. Great on gas. I use the Rav4 to get to and from work about 5 miles each way. I also have horses and need to hall feed from time to time and this little SUV does it all. Recently put 10 bags of shavings in it with no trouble at all. I needed a car with good gas mileage and could hall feed, and large dogs. This Rav4 seems to do it all with ease. So far I love it. Don't think i would like it on a long trip."
"01  9, 2013",best suv,looks great feels good great ride. Has many extra's and toyota is big on all the small details and extras
"01  6, 2013",Worst experience,"First off, my family has always owned a Toyota and NEVER ever had problems. We were always satisfied by how reliable the quality of Toyota vehicles were.

With an almost 1 yr old and me being pregnant, my husband and I decided we needed to buy a brand new car. He wanted a Ford or Jeep, but I insisted on Toyota. I did so much research and showed him all the great consumer and expert reviews on the Rav4. He finally caved in and we bought a brand new 2012 Rav4.

We got it in August 2012 and loved it! But then 3 months later (1,200 mileage only) in November (we live in the UK by the way, stationed in England), it broke down on me and my daughter at night in the cold. We were stuck for 1.5hr trying to get help and then finally a friend was able to get us but he tried to drive it too, and it broke down on him too. I know my prego hormones were out of wack, but it was awful and my daughter was crying hysterically by the way. We were cold and scared!

My husband tried to drive it to the Cambridge Toyota center but it broke down on him too and he had to wait 4hrs and 40 mins for someone to tow it to the dealership.

Then it took almost 2 weeks to figure out what was wrong with it. My husband who was deploying the following week at first was asking friends for rides to his deployment appointments and briefings, but since it was taking longer than expected we had to rent a car (which is not covered by warranty). It was just the worst timing ever.

The fuel pump pressure was defective. Warranty covered it and is ""fixed"" they say, but apparently it is still causing problems because our neighbors who are currently watching the car for us (they'll be watching it for about 6 months) says it still runs when they drive it, but it feels like it might stall at stops. It hasn't stalled yet, but STILL, what safety is that?!

Sorry Toyota, this experience totally made me never want to own one, and not only do I feel betrayed by Toyota's reliable past, I also feel like I disrespected my husband by not considering the Ford or Jeep he wanted. Should have just listened to him and trusted him!

Totally disappointed and not looking forward to going back to the UK to drive a potentially hazardous car for our family."
"12 20, 2012",G-Man,"This is the third Rav4 I've owned. They never disappoint. Excellent performance, comfort, and very
reliable. Seventy cubic feet of cargo space, comes in
handy, on many occasions. Living in New England, the
Rav4, enables you to drive in any condition, with confidence. I've had a direct influence on six friends,
who also purchased Rav4's."
"12 19, 2012",RECOMMEND TO ALL,"CAN'T GET ANY BETTER, RECOMMEND TO ALL.PERFECT SO EASY TO DRIVE, WARRENTY IS GREAT, MAINTANCE IS EXCELLENT."
"12 10, 2012",Excellent!,"Best car I've ever owned ... I traded a 2009 RAV4 for my 2012! Great mileage, comfort, style, perfect for toting my amps and guitars to gigs. Love it!"
"10 31, 2012",RAV,"This is the fourth Toyota in our household and my second RAV4. My first RAV4 was 12yrs old, and I loved it. The only reason I sold it was to get the down payment to buy a newer one. I got a great price when I sold my 2001 RAV4 - had I been able to keep the old one and still buy the new one, I would have b/c I LOVE my RAVs!"
"10 26, 2012",Excellent little car,Care has plenty of pep and get-up-and-go for a 4-cylinder engine. The handling is superb. Very pleased with leg room. Good dependable care for the money. Would recommend to a friend
"10 22, 2012",The RAV4 Sport,"Fabulous vehicle, way more room than the Honda CR-V! Strongly influenced by owning a 2003 Matrix for 8 years! Durable, long lasting, and reliable! Never doubted the vehicle for a second! I am very happy about my Dad's advice and gearing me towards a RAV4 Sport! Absolutely outstanding. My husband jokingly and lovingly says; ""All you ever do is have a nicer car than your husband!""

Love it!"
"10 17, 2012",Very comfortable,"I'm 6'4"" with arthritis in knees and hips. The RAV4 allows me to travel for more than 1 1/2 hrs before I need to stop to relieve knee and hip pain. There is also more than ample headroom."
"09 28, 2012",Need more seat time to be totally objective,"Great mid size SUV.
Good Fuel economy.
Great Ride with good cornering stability.
Toyo Open country tires noisy on some furfaces."
"09 23, 2012",Safe and Reliable Small SUV,"This is the second RAV4 we have owned. It is a nice little SUV for our needs, we purchased for reliability and the value we got for the money. Very easy to drive and has all the safety features you need in a modern vehicle including the backup camera. Plenty of room in the back for all our stuff and a Kayak on top of the racks. Plus my wife likes how the higher stance of the vehicle gives her a better view of the road. The RAV4 fits our lifestyle and needs."
"09 21, 2012",32 mpg on hwy,"minimum 28 mpg through yellowstone, tetons,rockies. almost drives itself.only a four cylinder but plenty power."
"09 10, 2012",Just another car,"It is an okay car, if my Honda was not totaled I would not have bought this. According to the on car mpg gauge we are only getting 21 mpg."
"08 24, 2012",Rav4 Review,"Stylish , Innovative, Contemporary Toyota Moving Forward! Vast Improvement over last years mOdel, no recalls yet?"
"08 24, 2012",My New Rav 4,"I've been a Toyota person forever. Prior to this SUV, I had a Yaris - which is fantastic on gas. I needed a vehicle for the snow, plus a larger one for my dogs. I absolutely love my SUV, roomy enough, and it sits high enough (like a truck) so I can see past the vehicle ahead of me. It rides so smootlhly and I can't wait to use all the gadgets I've never had before in a car. For a larger vehicle that I am used to - it is doing exceptionally well on gas. (I average 26.5 mpg) This is in the city - mind you. This is also the first vehicle I've had which is automatic. I have to remind myself not to shift & not to clutch. Other than this, I love my new Rav-ioli."
"08 23, 2012",Better than govt. motors,Got tired of poor quality of gm dealers. Tired of their shoddy service and excuses. Bought Toyota. Best personal service of dealers and sales. Most courteous and genuine. WONT GO BACK TO GM.
"08 23, 2012",Raving over the Rav 4,"It took me a long time to settle on and buy exactly what I wanted. The Toyota Rav 4 Sport V6. It's fun to drive, surprisingly quick and responsive, looks amazing (sport w/appearance package) and toyota's reliability is bar none. I wish that they offered navigation systems in the other models besides the limited, but I'll just have to use the maps on my smart phone. Great all round, 4 seasons car."
"08 21, 2012",love my suv,It is what I wanted and thank the dealer for making it possible. Love the way it drives and the way it looks.
"08 14, 2012",RAV4 SPORT RED,"I bought RAV4 Sport, ride is awful and the back seat is really tight and bumpy... if you driving by yourself, I guess it?s O.K.. it?s not good for family ride. First couple of years I use to get good gas mileage, then it?s drop to around 17-19 miles? I change oil every 3k, even though MFG. recommended at 5K. If I wait till 5K there won't be any oil to change, it burn about 1-1/2 QT every 1000 miles? AWFUL. I took 3 times to the dealer to fix, but they said it's normal. What I am hearing and reading almost all the TOYOTA cars are BURNING OIL like crazy. Now I just add oil every other month, seems like I made a big mistake buying the RAV4,, after 4-recall I think I am done with TOYOTA!!"
"07 12, 2012",Must have,I love this car and the stylish new look. I have the sport and it's a beautiful SUV. Must have........
"06 29, 2012",now a two rav4 family,the 97 rav 4 is sweet with no problems other than normal service which is expected so we added a new one to the family which is the 2012 rav4 limited and passed on the 4 wheel drive and 6 cylinder as we live in Florida and wanted the best millage and did not have the need for a 6 or 4x4 as our new 2012 rav has more power than the 97 which is fine everywhere fully loaded with camp equipment except for going up mountains where I could not even meet the 55 mph speed limit so expect the new rav to hanndle that even better
"05  6, 2012",2nd Toyota SUV - after Chevys and Benzs...,"Since last few weeks I am enjoying my new 2012 Toyota RAV4 Sport 4WD, it is really a nice vehicle.
Bluetooth works great, Fuel wise is also very echonomical, drive smooth."
"04 19, 2012",2nd RAV 4 I've Owned,"This is the 2nd RAV 4 I've Owned. Traded in a 2002 Model RAV 4 for the 2012 Model. It's quite different and I still love it. It's larger, roomier and still great to handle. I especially like the roomier back seat and the larger cargo area. Looked at some competitor's vehicles but came back to the RAV 4 mostly for the reliability and great value."
"04 16, 2012",My Rav,"This is the best car i ever own, I always wanted it. If I didnt get it I woudnt feel right. When you really want something you have to go for it!!"
"04 12, 2012",Love it so far,"I just got my 2012 Rav4 a few weeks ago and took it on a 14 hours round trip to Virginia with no problems. I averaged 25mpg- not awesome but I'll take it. It was very car-like and easy to handle and also very comfortable. Visibility was fine. You do have to watch for wind - common with taller cars but I was driving a tiny sedan previously so it was not something I was used to right away. I love the bluetooth capability and the controls on the dash - something I did not really think I would care about. Since I went from CNY (40 degrees) to Va (65 degrees) I got to use both heat and a/c: both were fine. Lots of storage space throughout. My friend just traded in her 12 year old Rav 4 with over 140,000mi on it. I hope mine lasts that long!"
"11  9, 2023",Insufficient time line for Blizzard Pearl recall.,"The exterior received 1 star as the Blizzard Pearl paint looked great before its now ongoing pealing frenzy. 
The 2012 RAV4 is great in every aspect for its generation though the Blizzard Pearl isn’t holding up. 
The Blizzard Pearl paint, as good looking as it is, or paint prep is failing in a big way. The roof was pealing above the windshield aprox. 4 years ago, its repainting was cover per the extended warranty. Now 1 year after the warranty expired the hood, drivers side front post, drivers side passenger door and the rear hatch are all pealing. Blizzard Pearl! It’s now a looker going down the road for a different reason."
"07  6, 2023",To many problems in this Suv,This SUV HAS A SO MUCH PROBLEM I HAVE 2012 RAV4 51000 MILES IN MY SUV BURN OIL WHEEL SENIOR NO GOOD AIR BEG PROBLEM SEAT BELT PROBLEM AND FEW MORE PROBLEM WITH 2012 TOYOTA RAV4
"04 14, 2023",2012 Rav 4 is a gem.,I had a 2012 Rav 4 and a man ran a red light and ran over me and the Rav had to be junked. I got my second 2012 Rav 4 and both were and are wonderful cars. Would highly reccommend.
"01 27, 2023","RAV4 Sport v6, no better price for a 4WD","I had researched small/compact SUV vehicles in their respective class. Toyota known for reliability and quality for the price was on top of my list.
It took me a years time to have gotten lucky enough on a trade in at a local dealer. My timing was right on as when I arrived l looked it over before speaking with a rep. I overheard employees saying that the RAV4 Sport v6 check all the boxes and was a unicorn in and out. The owner must have taken a hit which after test driving it, it was straight as an arrow with minor slight blemishes for a 8 year old vehicle. I knew to make an offer, which was listed at $15,500. It was the end of the month, so it was approved to sell at $1000. Off if I took it that day. “Deal” and ever since driving it away with my temporary papers, I knew I found the SUV 4WD I’ve been looking for.
Right place, right time. I still have it and it’s a workhorse, and have put about 15k on it to which It had 60k when I purchased it.
Great buy, and say goodbye to v6 engines as the car companies need to go green and the future is about EV."
"04  5, 2021",Love love love it!,Everything mechanically was checked out and fixed by the dealer before driving off the lot. I love the low miles and great deal I got.
"03 31, 2021",This car is like my old one with way less miles.,It’s like brand new. It’s 4 years newer than my old car that has 260k miles. This has 65k miles. That’s why I bought another one. Love the v6 Rav 4. Hope they make it again.
"02  2, 2021",Best reliable suv I've ever owned,"This SUV didn't only meet my expectations,  it's far surpassed them.  Good on gas,  nice smooth ride,  and has not given me one problem.  2010-2012 is the best year,  that's my opinion."
"01 23, 2021",My favorite vehicle I’ve owned,It is perfect for what I need in a vehicle. Plenty of space to haul whatever I need. I like the styling and the overall design.
"01  3, 2021",Extremely reliable and spacious,"This car was very reliable and spacious. Not much for luxury, but it was a fantastic value, had plenty of space, and was good on gas."
"08 11, 2020",I Love My RAV4!,"I bought my RAV4 in 2015. It was 3 years old with 23,000 miles on it. Five years later I have 117,000 miles on it and I couldn't be happier. I take care of normal maintenance and haven't had any unexpected repairs at all. Reliability is of utmost importance to me and its been flawless. I love the interior space and how it sits up high. Its fun to drive and great looking, too. This 2012 RAV4 has been exceptionally good for me."
"08  6, 2020",Very clean car for the money spent!,So far the car is running just fine it had low miles and is in very good shape. It’s hard to find a car this year that doesn’t have a lot of miles!!
"06 22, 2020",Amazing Safety Even Without Fancy Features,"I owned the 2012 RAV-4 from 2015-2020, bought it used. Never had any major maintenance issues even at 70k miles. The only reason I no longer own it is because of an accident; I hydroplaned on the highway, skidded across four lanes of traffic, and slammed into a guardrail—the car was sadly totalled, but there wasn't a single scratch on me. The safety and reliability of this car is unmatched for its class."
